iter	RMSE
0	16.14846745
1	15.34404234
2	14.60002905
3	13.88999976
4	13.22881759
5	12.58972798
6	11.99365478
7	11.44152031
8	10.92336337
9	10.43446643
10	9.969833144
11	9.543178455
12	9.14460221
13	8.767716445
14	8.417613126
15	8.087274159
16	7.790503497
17	7.515755086
18	7.252464544
19	7.002137594
20	6.77494271
21	6.563142002
22	6.361265761
23	6.177909939
24	6.011604172
25	5.853431536
26	5.710823543
27	5.576585989
28	5.456438925
29	5.343200548
30	5.23594034
31	5.137843649
32	5.051602928
33	4.97122806
34	4.892214401
35	4.823687702
36	4.754940805
37	4.69479358
38	4.637292702
39	4.588940966
40	4.540769893
41	4.497899069
42	4.458822368
43	4.421333372
44	4.388929682
45	4.361121454
46	4.332910885
47	4.307761987
48	4.281989294
49	4.260821356
50	4.240376598
51	4.221910507
52	4.204560378
53	4.187150217
54	4.171934482
55	4.157237197
56	4.144103935
57	4.131780493
58	4.120480308
59	4.110613881
60	4.099959766
61	4.089493963
62	4.08141141
63	4.073342727
64	4.0640105
65	4.055508607
66	4.048890203
67	4.043106791
68	4.037773167
69	4.030851511
70	4.026210174
71	4.020609388
72	4.0153181
73	4.007699336
74	3.999611185
75	3.99376547
76	3.988600789
77	3.98137475
78	3.97663025
79	3.972827214
80	3.968046006
81	3.961055339
82	3.955608729
83	3.95197841
84	3.949045181
85	3.944878525
86	3.940743381
87	3.936409891
88	3.932227282
89	3.927479029
90	3.92436036
91	3.920048837
92	3.915337971
93	3.91190134
94	3.908172497
95	3.906055399
96	3.901801066
97	3.898735776
98	3.896608473
99	3.893173265
100	3.889885802
101	3.884391964
102	3.880029151
103	3.875300149
104	3.873021643
105	3.869955927
106	3.867497037
107	3.863806816
108	3.860809451
109	3.858325609
110	3.855221299
111	3.85321214
112	3.850654147
113	3.847359006
114	3.84424847
115	3.841706329
116	3.839624183
117	3.836204288
118	3.833056917
119	3.829695364
120	3.825485232
121	3.821905657
122	3.818737579
123	3.815689041
124	3.81400908
125	3.811640119
126	3.809499465
127	3.808040857
128	3.805060507
129	3.803381531
130	3.8020069
131	3.799780307
132	3.798577845
133	3.795241768
134	3.792638812
135	3.78980408
136	3.785952836
137	3.784043461
138	3.780695248
139	3.777283918
140	3.774869348
141	3.771073027
142	3.769042852
143	3.765961908
144	3.763321138
145	3.76020891
146	3.757426659
147	3.754950652
148	3.753068894
149	3.751053798
150	3.748371453
151	3.745215225
152	3.743004183
153	3.740434743
154	3.73880017
155	3.737541686
156	3.736100105
157	3.733617796
158	3.730905589
159	3.728119984
160	3.726328481
161	3.722813248
162	3.721026723
163	3.718265099
164	3.715975174
165	3.71349554
166	3.710619231
167	3.707653118
168	3.705765293
169	3.703725873
170	3.701205252
171	3.699461511
172	3.697602563
173	3.696238178
174	3.692561901
175	3.690227356
176	3.687542783
177	3.68502218
178	3.683473051
179	3.680760553
180	3.679078675
181	3.676622679
182	3.673749103
183	3.671153707
184	3.667707629
185	3.666389216
186	3.663893565
187	3.658727902
188	3.656726439
189	3.654885496
190	3.653464091
191	3.651714221
192	3.648112651
193	3.645544935
194	3.643452409
195	3.641739719
196	3.639653448
197	3.637686344
198	3.636249812
199	3.632513132
200	3.628690363
201	3.627510961
202	3.625034983
203	3.623755088
204	3.621664871
205	3.619346385
206	3.61761179
207	3.613420993
208	3.609165416
209	3.606434385
210	3.60330862
211	3.601928916
212	3.599506114
213	3.596664709
214	3.593168327
215	3.589782413
216	3.586896281
217	3.58341962
218	3.581718883
219	3.579155203
220	3.575806905
221	3.572619093
222	3.570262878
223	3.568260521
224	3.565427595
225	3.563793073
226	3.562605706
227	3.560325032
228	3.558204705
229	3.55567796
230	3.552432296
231	3.54881982
232	3.546759011
233	3.543911394
234	3.540267779
235	3.538288408
236	3.535696746
237	3.532488047
238	3.530224658
239	3.527425967
240	3.524298307
241	3.521222138
242	3.51859552
243	3.516180617
244	3.512952303
245	3.510441519
246	3.506838007
247	3.504401468
248	3.503144988
249	3.501676325
250	3.499990364
251	3.498780636
252	3.496325478
253	3.492404852
254	3.489705837
255	3.487874742
256	3.485450716
257	3.483170349
258	3.482397746
259	3.480127619
260	3.477860464
261	3.476062794
262	3.474094251
263	3.471734723
264	3.468583754
265	3.467056923
266	3.464563872
267	3.461614598
268	3.4590028
269	3.456489992
270	3.4549563
271	3.453213512
272	3.451855785
273	3.450120307
274	3.448694622
275	3.446113311
276	3.444835565
277	3.442206193
278	3.439871136
279	3.438127591
280	3.43472094
281	3.432538072
282	3.431674643
283	3.429628585
284	3.428694411
285	3.427452364
286	3.425495494
287	3.423026603
288	3.421228301
289	3.420122102
290	3.418073977
291	3.416109447
292	3.4140475
293	3.411898744
294	3.410653022
295	3.409059203
296	3.407718632
297	3.405813288
298	3.403487501
299	3.401605046
300	3.399145683
301	3.397488101
302	3.39507799
303	3.392132675
304	3.389805646
305	3.387740521
306	3.386129724
307	3.384571755
308	3.382070707
309	3.38048364
310	3.378216414
311	3.37610245
312	3.373760512
313	3.371958705
314	3.369756978
315	3.368275685
316	3.366169553
317	3.365260792
318	3.363309232
319	3.361879197
320	3.360314236
321	3.359004843
322	3.358021112
323	3.355513282
324	3.353705849
325	3.352850385
326	3.35124744
327	3.349520131
328	3.347381784
329	3.345053618
330	3.343525501
331	3.341565585
332	3.339727431
333	3.337974437
334	3.335572811
335	3.333398553
336	3.332523075
337	3.330730003
338	3.328998164
339	3.327396086
340	3.325375027
341	3.3242127
342	3.321918942
343	3.320130656
344	3.318732713
345	3.316745309
346	3.315572668
347	3.314517724
348	3.312921914
349	3.3113721
350	3.309891915
351	3.308478739
352	3.305962477
353	3.304429896
354	3.301770066
355	3.300519948
356	3.299114633
357	3.297639716
358	3.29640547
359	3.295191974
360	3.293740365
361	3.292170678
362	3.290882476
363	3.289448512
364	3.287613527
365	3.286495662
366	3.284728283
367	3.282651635
368	3.280389037
369	3.279320226
370	3.277607141
371	3.276151866
372	3.27279229
373	3.271492959
374	3.270053408
375	3.268596279
376	3.267594627
377	3.26622885
378	3.265039175
379	3.263611861
380	3.262465455
381	3.261104731
382	3.260108802
383	3.25776313
384	3.256141773
385	3.254910442
386	3.253197852
387	3.251926005
388	3.250314387
389	3.249159013
390	3.2476517
391	3.246870037
392	3.244946915
393	3.242871653
394	3.24045489
395	3.239187977
396	3.237639994
397	3.236803051
398	3.235267768
399	3.233843217
400	3.233311978
401	3.23251411
402	3.230589852
403	3.22859867
404	3.227830662
405	3.227226632
406	3.225562095
407	3.223499559
408	3.221373161
409	3.220257712
410	3.218479505
411	3.216862609
412	3.215685693
413	3.214332784
414	3.213350626
415	3.212377936
416	3.210889863
417	3.208790434
418	3.207858997
419	3.206463785
420	3.204967362
421	3.203142524
422	3.201669696
423	3.200241049
424	3.198984306
425	3.197941368
426	3.196723393
427	3.195394594
428	3.194045504
429	3.192171304
430	3.191078212
431	3.189828181
432	3.188794593
433	3.187298658
434	3.186536762
435	3.184725914
436	3.183357387
437	3.181990099
438	3.180415729
439	3.179309603
440	3.178145681
441	3.17610342
442	3.175044148
443	3.173347325
444	3.172233796
445	3.171355876
446	3.170137733
447	3.168211932
448	3.167424822
449	3.166320994
450	3.165017093
451	3.162623682
452	3.161222731
453	3.160522493
454	3.159538097
455	3.157800285
456	3.156460156
457	3.155580439
458	3.153888117
459	3.152911492
460	3.151325189
461	3.149665823
462	3.147611763
463	3.145532433
464	3.144836706
465	3.143766891
466	3.141214404
467	3.140463339
468	3.139518967
469	3.138293575
470	3.137187055
471	3.135877559
472	3.133789586
473	3.133053923
474	3.131942853
475	3.130718585
476	3.129317229
477	3.127874731
478	3.126651449
479	3.124954279
480	3.124023683
481	3.122842136
482	3.121261958
483	3.120074838
484	3.11849562
485	3.11759481
486	3.116385684
487	3.115528043
488	3.113736107
489	3.112830562
490	3.111479993
491	3.110352449
492	3.109305725
493	3.107966826
494	3.107202899
495	3.106544536
496	3.105840546
497	3.104789418
498	3.104146107
499	3.102481232
500	3.101322159
501	3.099948076
502	3.098293996
503	3.097660372
504	3.096221898
505	3.094864815
506	3.094134084
507	3.09226888
508	3.091201502
509	3.088979887
510	3.087213446
511	3.086293006
512	3.085229193
513	3.08425986
514	3.083475695
515	3.082721263
516	3.081939805
517	3.080219088
518	3.079492151
519	3.078641377
520	3.076892635
521	3.075803389
522	3.074847339
523	3.074155674
524	3.073263381
525	3.072029058
526	3.070671467
527	3.069817059
528	3.068172883
529	3.067253214
530	3.065276877
531	3.064132891
532	3.062627752
533	3.061827986
534	3.060789664
535	3.060046131
536	3.0594259
537	3.058136022
538	3.05756414
539	3.056599966
