iter	Passed	Remaining
0	90	90772
1	92	46270
2	94	31425
3	96	24012
4	97	19482
5	99	16491
6	101	14382
7	102	12745
8	104	11467
9	105	10453
10	107	9661
11	108	8968
12	110	8377
13	111	7876
14	113	7466
15	115	7082
16	116	6736
17	117	6436
18	119	6183
19	121	5946
20	122	5726
21	124	5519
22	125	5339
23	127	5182
24	128	5025
25	130	4880
26	131	4755
27	133	4649
28	135	4538
29	136	4427
30	138	4334
31	140	4251
32	142	4168
33	143	4086
34	145	4012
35	147	3946
36	148	3874
37	150	3806
38	152	3746
39	154	3696
40	155	3641
41	157	3586
42	158	3538
43	160	3489
44	162	3439
45	163	3390
46	165	3347
47	166	3307
48	168	3263
49	169	3222
50	171	3185
51	172	3152
52	174	3117
53	175	3081
54	177	3046
55	179	3023
56	181	2997
57	182	2969
58	184	2943
59	186	2918
60	188	2894
61	189	2869
62	191	2846
63	193	2824
64	194	2802
65	196	2779
66	198	2758
67	199	2738
68	201	2715
69	202	2692
70	204	2670
71	205	2651
72	207	2630
73	208	2611
74	210	2594
75	212	2579
76	213	2561
77	215	2543
78	216	2525
79	218	2508
80	219	2493
81	221	2477
82	222	2462
83	224	2447
84	225	2431
85	227	2416
86	228	2400
87	230	2386
88	231	2372
89	233	2359
90	234	2345
91	236	2332
92	237	2320
93	239	2308
94	240	2295
95	242	2283
96	244	2271
97	245	2259
98	246	2247
99	248	2236
100	250	2225
101	251	2214
102	253	2203
103	254	2193
104	256	2183
105	257	2173
106	259	2164
107	260	2154
108	262	2145
109	263	2135
110	265	2124
111	266	2114
112	268	2104
113	269	2095
114	271	2086
115	272	2076
116	273	2066
117	275	2056
118	276	2046
119	277	2036
120	279	2027
121	280	2017
122	281	2008
123	283	1999
124	284	1990
125	285	1982
126	287	1973
127	288	1964
128	289	1955
129	291	1947
130	292	1939
131	293	1932
132	295	1923
133	296	1915
134	297	1907
135	298	1899
136	300	1892
137	301	1884
138	302	1876
139	304	1869
140	305	1862
141	307	1855
142	308	1848
143	309	1841
144	311	1834
145	312	1827
146	313	1820
147	315	1814
148	316	1809
149	318	1803
150	319	1796
151	321	1790
152	322	1784
153	323	1778
154	325	1773
155	326	1767
156	328	1761
157	329	1755
158	330	1749
159	332	1746
160	334	1740
161	335	1735
162	336	1730
163	338	1725
164	340	1721
165	341	1716
166	343	1711
167	344	1705
168	346	1702
169	347	1697
170	349	1692
171	350	1688
172	352	1685
173	354	1681
174	355	1676
175	357	1671
176	359	1669
177	360	1665
178	362	1660
179	363	1655
180	365	1653
181	367	1649
182	368	1644
183	369	1640
184	371	1636
185	373	1633
186	374	1628
187	376	1625
188	377	1621
189	379	1618
190	381	1614
191	382	1610
192	384	1606
193	385	1603
194	387	1600
195	389	1596
196	390	1592
197	392	1590
198	394	1586
199	395	1582
200	397	1578
201	398	1575
202	400	1571
203	401	1567
204	403	1563
205	405	1561
206	406	1558
207	408	1554
208	409	1550
209	411	1548
210	413	1546
211	414	1542
212	416	1538
213	417	1534
214	419	1531
215	420	1528
216	422	1524
217	424	1521
218	425	1519
219	427	1515
220	428	1511
221	430	1507
222	432	1505
223	433	1502
224	435	1498
225	436	1494
226	438	1491
227	439	1488
228	441	1485
229	442	1481
230	443	1477
231	445	1475
232	447	1471
233	448	1468
234	449	1464
235	451	1461
236	453	1459
237	454	1455
238	455	1451
239	457	1448
240	459	1446
241	460	1442
242	461	1439
243	463	1435
244	465	1433
245	466	1430
246	468	1427
247	469	1424
248	471	1421
249	473	1419
250	474	1415
251	475	1412
252	477	1409
253	479	1407
254	480	1404
255	482	1401
256	483	1397
257	485	1396
258	486	1393
259	488	1389
260	489	1386
261	491	1384
262	492	1381
263	494	1379
264	496	1376
265	498	1374
266	499	1372
267	501	1369
268	502	1366
269	504	1364
270	506	1362
271	508	1360
272	509	1357
273	511	1355
274	513	1353
275	514	1350
276	516	1348
277	518	1345
278	519	1343
279	521	1340
280	523	1338
281	525	1337
282	526	1335
283	528	1332
284	530	1330
285	532	1328
286	533	1326
287	535	1324
288	537	1322
289	539	1320
290	540	1318
291	542	1315
292	544	1313
293	546	1311
294	547	1308
295	549	1306
296	550	1303
297	552	1301
298	554	1299
299	555	1297
300	557	1294
301	559	1292
302	561	1290
303	562	1288
304	564	1286
305	566	1284
306	567	1282
307	569	1279
308	571	1277
309	572	1274
310	574	1271
311	575	1269
312	577	1266
313	578	1264
314	580	1261
315	581	1258
316	583	1256
317	584	1253
318	586	1251
319	587	1248
320	589	1246
321	590	1243
322	592	1241
323	593	1238
324	595	1236
325	596	1233
326	598	1231
327	599	1229
328	601	1226
329	603	1224
330	604	1222
331	606	1219
332	607	1217
333	609	1214
334	610	1212
335	612	1209
336	613	1207
337	615	1204
338	616	1202
339	618	1200
340	620	1198
341	621	1195
342	622	1193
343	624	1190
344	625	1187
345	627	1185
346	628	1183
347	630	1180
348	631	1178
349	633	1175
350	634	1173
351	636	1170
352	637	1168
353	639	1166
354	640	1163
355	642	1161
356	643	1158
357	644	1156
358	646	1154
359	647	1151
360	649	1150
361	651	1147
362	652	1145
363	654	1143
364	655	1140
365	657	1138
366	658	1136
367	660	1133
368	661	1131
369	663	1129
370	664	1126
371	666	1124
372	667	1122
373	669	1120
374	670	1117
375	672	1115
376	673	1113
377	675	1110
378	676	1108
379	678	1106
380	679	1104
381	680	1101
382	682	1099
383	683	1096
384	685	1094
385	686	1092
386	688	1089
387	689	1087
388	690	1085
389	692	1083
390	694	1081
391	696	1079
392	697	1077
393	699	1075
394	700	1073
395	702	1071
396	704	1069
397	705	1067
398	707	1065
399	708	1063
400	710	1061
401	712	1059
402	713	1057
403	715	1055
404	716	1053
405	718	1051
406	720	1049
407	721	1047
408	723	1045
409	725	1043
410	727	1042
411	728	1039
412	730	1038
413	732	1036
414	733	1034
415	735	1032
416	737	1030
417	738	1028
418	740	1026
419	742	1024
420	743	1022
421	745	1021
422	747	1019
423	748	1016
424	749	1014
425	751	1012
426	752	1010
427	754	1008
428	755	1005
429	757	1003
430	758	1001
431	760	999
432	762	998
433	763	996
434	765	994
435	767	992
436	768	990
437	770	988
438	771	985
439	773	984
440	774	981
441	776	979
442	777	977
443	779	975
444	780	973
445	782	971
446	783	969
447	785	968
448	787	966
449	788	964
450	790	962
451	792	960
452	793	958
453	795	956
454	796	954
455	798	952
456	800	950
457	801	948
458	802	946
459	804	944
460	806	942
461	808	941
462	809	939
463	811	937
464	812	935
465	814	933
466	816	931
467	817	929
468	819	927
469	820	925
470	822	923
471	823	921
472	825	919
473	827	917
474	828	915
475	829	913
476	831	911
477	833	909
478	834	907
479	836	905
480	837	903
481	839	902
482	840	900
483	842	898
484	843	895
485	845	894
486	847	892
487	848	890
488	850	888
489	851	886
490	853	884
491	854	882
492	856	880
493	857	878
494	859	877
495	861	875
496	862	873
497	864	871
498	866	869
499	867	867
500	869	865
501	870	863
502	872	861
503	873	860
504	875	858
505	877	856
506	878	854
507	880	852
508	881	850
509	883	848
510	884	846
511	887	845
512	888	843
513	890	841
514	891	839
515	893	838
516	895	836
517	896	834
518	897	832
519	899	830
520	901	828
521	902	826
522	904	824
523	906	823
524	907	821
525	909	819
526	910	817
527	912	815
528	914	813
529	915	811
530	917	809
531	918	808
532	920	806
533	922	804
534	923	802
535	925	800
536	926	799
537	928	797
538	929	795
539	931	793
540	932	791
541	934	789
542	936	788
543	938	786
544	939	784
545	941	783
546	943	781
547	944	779
548	946	777
549	948	775
550	950	774
551	951	772
552	953	770
553	955	768
554	956	767
555	958	765
556	960	763
557	961	761
558	963	760
559	965	758
560	966	756
561	968	754
562	969	752
563	971	750
564	972	748
565	973	746
566	975	744
567	976	742
568	978	740
569	979	738
570	980	736
571	982	735
572	983	733
573	985	731
574	986	729
575	988	727
576	989	725
577	990	723
578	992	721
579	993	719
580	995	717
581	996	715
582	997	713
583	999	711
584	1000	709
585	1001	707
586	1003	705
587	1004	703
588	1006	702
589	1007	700
590	1009	698
591	1010	696
592	1012	694
593	1013	692
594	1015	690
595	1016	689
596	1017	687
597	1019	685
598	1020	683
599	1022	681
600	1023	679
601	1025	677
602	1026	675
603	1027	673
604	1029	672
605	1030	670
606	1032	668
607	1033	666
608	1034	664
609	1036	662
610	1037	660
611	1039	658
612	1040	656
613	1042	655
614	1043	653
615	1044	651
616	1046	649
617	1047	647
618	1049	645
619	1050	644
620	1052	642
621	1053	640
622	1055	638
623	1057	636
624	1058	635
625	1060	633
626	1062	631
627	1063	629
628	1064	628
629	1066	626
630	1068	624
631	1069	622
632	1071	621
633	1073	619
634	1074	617
635	1076	616
636	1078	614
637	1080	612
638	1081	611
639	1083	609
640	1084	607
641	1086	606
642	1088	604
643	1089	602
644	1091	600
645	1092	598
646	1094	597
647	1096	595
648	1097	593
649	1099	591
650	1101	590
651	1102	588
652	1104	586
653	1105	585
654	1107	583
655	1108	581
656	1110	579
657	1111	577
658	1113	576
659	1115	574
660	1116	572
661	1118	570
662	1120	569
663	1122	567
664	1123	566
665	1125	564
666	1127	562
667	1128	561
668	1130	559
669	1131	557
670	1133	555
671	1135	554
672	1136	552
673	1138	550
674	1140	549
675	1141	547
676	1143	545
677	1144	543
678	1146	542
679	1148	540
680	1149	538
681	1151	536
682	1153	535
683	1154	533
684	1156	531
685	1157	529
686	1159	528
687	1161	526
688	1162	524
689	1164	522
690	1165	521
691	1167	519
692	1169	517
693	1170	516
694	1172	514
695	1174	512
696	1175	511
697	1177	509
698	1178	507
699	1180	505
700	1182	504
701	1183	502
702	1184	500
703	1186	498
704	1188	497
705	1189	495
706	1191	493
707	1193	492
708	1194	490
709	1196	488
710	1197	486
711	1199	485
712	1201	483
713	1202	481
714	1204	480
715	1206	478
716	1208	476
717	1209	475
718	1211	473
719	1212	471
720	1214	470
721	1216	468
722	1217	466
723	1219	464
724	1220	463
725	1222	461
726	1223	459
727	1225	457
728	1227	456
729	1228	454
730	1230	452
731	1231	450
732	1233	449
733	1235	447
734	1236	445
735	1238	444
736	1240	442
737	1241	440
738	1243	439
739	1245	437
740	1246	435
741	1248	434
742	1249	432
743	1251	430
744	1253	429
745	1255	427
746	1256	425
747	1257	423
748	1259	422
749	1261	420
750	1263	418
751	1264	417
752	1266	415
753	1267	413
754	1269	411
755	1271	410
756	1273	408
757	1274	406
758	1276	405
759	1277	403
760	1279	401
761	1280	400
762	1282	398
763	1283	396
764	1285	394
765	1286	393
766	1288	391
767	1289	389
768	1291	387
769	1292	386
770	1293	384
771	1295	382
772	1296	380
773	1298	379
774	1299	377
775	1300	375
776	1302	373
